BlockId,Label
blk_5801723095185836618,Anomaly
blk_8398984411303750669,Anomaly
blk_-7052911997539087826,Anomaly
blk_281337360704025623,Anomaly
blk_573363429551048686,Normal
blk_-3031448028255295283,Anomaly
blk_3853073192013151614,Normal
blk_-4774971554281794181,Normal
blk_948234821311834366,Anomaly
blk_5588250574729797238,Anomaly
blk_7253380891093890624,Anomaly
blk_125984180822032784,Normal
blk_1174393151562766387,Anomaly
blk_-4711871782535569830,Anomaly
blk_-1440461950863645852,Normal
blk_5889807743109971058,Normal
blk_-3792283723920781755,Normal
blk_9176263204797010146,Anomaly
blk_6603594443856441473,Anomaly
blk_583686115632387712,Anomaly
blk_-4559241601149457697,Normal
blk_8697781622144690579,Normal
blk_-7725156326119902837,Normal
blk_-548292098718999410,Normal
blk_-9042651291285667594,Normal
blk_1241524860572303596,Normal
blk_634589558196946264,Normal
blk_7982193940539317320,Anomaly
blk_3173365234163800688,Normal
blk_9174110971798374934,Anomaly
blk_-8109794496929241209,Normal
blk_-1831421222035460959,Normal
blk_4410486479863385554,Anomaly
blk_100612193858332943,Normal
blk_-6480262258038007815,Normal
blk_-7960385849915390413,Anomaly
blk_6044549731612168803,Normal
blk_-7835513766770709559,Normal
blk_1106981065462719386,Anomaly
blk_-5538684428600719222,Anomaly
blk_-1426154608038688678,Normal
blk_-1654371070624230463,Normal
blk_-4109404756791940776,Normal
blk_-1312810861205940033,Normal
blk_-4504220669168269911,Normal
blk_-3206250633917739925,Normal
blk_-9132489797901912321,Normal
blk_7756952444741847347,Normal
blk_-158428533541982547,Normal
blk_-3112341313264796549,Normal
blk_-1199274470941247836,Normal
blk_-8199632759868352625,Normal
blk_5488830540367484421,Anomaly
blk_-71589457241177829,Anomaly
blk_3528312286362511119,Normal
blk_7706762627013929588,Anomaly
blk_-9031164655223473108,Anomaly
blk_2282386191842355941,Normal
blk_-3999634899735230388,Normal
blk_-2122746365326246286,Normal
blk_6882282242775547394,Normal
blk_5595024889580471449,Anomaly
blk_-1338811396441083590,Normal
blk_5601957374270453342,Anomaly
blk_9034660489720902941,Anomaly
blk_-4015163647266577992,Anomaly
blk_8214308878113213279,Anomaly
blk_2183381177597928269,Normal
blk_-8686229134584149397,Anomaly
blk_6680862996780332445,Normal
blk_-8370048518510860028,Normal
blk_7660023273109905151,Normal
blk_-2193690459688386685,Normal
blk_-5563324712022453567,Normal
blk_7282762285266416722,Normal
blk_7132232783467102702,Anomaly
blk_2562390483217413674,Normal
blk_482073678166437600,Normal
blk_-8170656270894818397,Anomaly
blk_-680277168450638944,Anomaly
blk_-4754531668022270535,Normal
blk_2921683598548726564,Anomaly
blk_-4766159235599770128,Anomaly
blk_-560587538344358067,Anomaly
blk_7643384512263184156,Anomaly
blk_7704739776288259998,Anomaly
blk_8171969091614546948,Anomaly
blk_-7915100391904353895,Anomaly
blk_-1628853187308174005,Normal
blk_3707548703317650926,Anomaly
blk_-8335228525791238618,Anomaly
blk_6778282712002793542,Normal
blk_-8150283660483039417,Normal
blk_8465702984833642147,Anomaly
blk_3007958785644331508,Normal
blk_-4259131799959703643,Normal
blk_6620165901581489368,Normal
blk_-3349289973286267883,Anomaly
blk_2466553011951045774,Anomaly
blk_1535252863578539128,Normal
blk_8795721943833187017,Normal
blk_716540193453535510,Anomaly
blk_8342213972413455107,Anomaly
blk_-787031630343092033,Anomaly
blk_-4979164464511944488,Normal
blk_-2970265268929167023,Normal
blk_789605266938667681,Anomaly
blk_-6717937532821341941,Normal
blk_-2906204956193310917,Anomaly
blk_-6022397843120921874,Normal
blk_147392576177365727,Normal
blk_3144294633140780564,Normal
blk_781733443772634826,Normal
blk_3121714463604302057,Normal
blk_7288484728026240171,Anomaly
blk_8760456151941397737,Anomaly
blk_-6842030632641080111,Normal
blk_-8802595297188553273,Normal
blk_7909070701495001147,Anomaly
blk_1449384336751070671,Normal
blk_3455420048152391626,Anomaly
blk_8702679344131899479,Anomaly
blk_-1645127803138209626,Anomaly
blk_-6672070878643402708,Anomaly
blk_-2529925264550086872,Anomaly
blk_7424233426986183787,Anomaly
blk_-1853629419645531586,Normal
blk_8215281754023858130,Anomaly
blk_-3562600900154636308,Normal
blk_842810621657300290,Normal
blk_5147187464039786448,Anomaly
blk_-8296931237981172122,Anomaly
blk_-7326416392478650425,Normal
blk_-716965666746489738,Anomaly
blk_-8837307945029464228,Normal
blk_676829121666117538,Anomaly
blk_6988482682277639827,Anomaly
blk_5981215323232212348,Anomaly
blk_-2561869317249762531,Anomaly
blk_-3344741076287387544,Normal
blk_7162192905159555470,Normal
blk_-8077721877929356600,Normal
blk_-5168143875395309523,Normal
blk_8230132282539603062,Anomaly
blk_5460269159464362853,Anomaly
blk_9155293087146016426,Normal
blk_1288496799750105682,Normal
blk_-747707194414527012,Normal
blk_400166283874296739,Normal
blk_316825146886722209,Anomaly
blk_-5702408115323102212,Anomaly
